kind,i,p,j,k,w,dist_m,es_existente,name,value,uid_i,uid_p,cluster_i,cluster_p
I,0.0,,,,76.0340015581331,,,,,0.0,,3.0,
I,1.0,,,,109.06556894726144,,,,,1.0,,3.0,
I,2.0,,,,55.04718825409286,,,,,2.0,,2.0,
I,3.0,,,,36.58140159710555,,,,,3.0,,4.0,
I,4.0,,,,138.14514500298958,,,,,4.0,,1.0,
I,5.0,,,,37.870407349936805,,,,,5.0,,1.0,
I,6.0,,,,7.080384926390122,,,,,6.0,,1.0,
I,7.0,,,,89.85737965497044,,,,,7.0,,1.0,
I,8.0,,,,53.14239545984936,,,,,8.0,,2.0,
I,9.0,,,,133.20830667705525,,,,,9.0,,1.0,
I,10.0,,,,83.33985640670356,,,,,10.0,,5.0,
I,11.0,,,,122.4443339598339,,,,,11.0,,1.0,
I,12.0,,,,93.00576825594727,,,,,12.0,,1.0,
I,13.0,,,,23.950199550069556,,,,,15.0,,2.0,
I,14.0,,,,23.26845665977004,,,,,16.0,,0.0,
I,15.0,,,,23.53212450526259,,,,,17.0,,2.0,
I,16.0,,,,127.2086335832156,,,,,18.0,,0.0,
I,17.0,,,,99.33483323001515,,,,,19.0,,3.0,
I,18.0,,,,92.27459609563454,,,,,20.0,,4.0,
I,19.0,,,,37.66062408102484,,,,,21.0,,0.0,
I,20.0,,,,70.1020350718954,,,,,22.0,,0.0,
I,21.0,,,,41.22530740177579,,,,,23.0,,2.0,
I,22.0,,,,126.66489540729513,,,,,24.0,,2.0,
I,23.0,,,,54.846967955703974,,,,,25.0,,0.0,
I,24.0,,,,37.51663276643346,,,,,26.0,,1.0,
I,25.0,,,,91.58354328458688,,,,,27.0,,0.0,
I,26.0,,,,34.81117514869806,,,,,28.0,,1.0,
I,27.0,,,,53.366104952095654,,,,,29.0,,3.0,
I,28.0,,,,139.79701422017754,,,,,30.0,,5.0,
I,29.0,,,,24.669381009204148,,,,,31.0,,1.0,
I,30.0,,,,99.05816471227857,,,,,32.0,,1.0,
I,31.0,,,,99.73217828876557,,,,,34.0,,1.0,
I,32.0,,,,55.04534174492069,,,,,35.0,,1.0,
I,33.0,,,,67.91406430928033,,,,,36.0,,1.0,
I,34.0,,,,67.0486320639434,,,,,37.0,,0.0,
I,35.0,,,,223.83269066441275,,,,,40.0,,2.0,
I,36.0,,,,27.13079262236442,,,,,42.0,,0.0,
I,37.0,,,,58.940920480021425,,,,,43.0,,3.0,
I,38.0,,,,24.306330940642326,,,,,44.0,,0.0,
I,39.0,,,,23.516381172330682,,,,,45.0,,3.0,
I,40.0,,,,5.413547174516415,,,,,46.0,,1.0,
I,41.0,,,,62.957412496896175,,,,,47.0,,2.0,
I,42.0,,,,55.709637464486235,,,,,48.0,,2.0,
I,43.0,,,,61.14483544749646,,,,,49.0,,4.0,
I,44.0,,,,59.06133170941708,,,,,50.0,,5.0,
I,45.0,,,,62.58297005040305,,,,,51.0,,2.0,
I,46.0,,,,75.75874501245448,,,,,52.0,,4.0,
I,47.0,,,,129.04272143802572,,,,,53.0,,1.0,
I,48.0,,,,168.97832791468772,,,,,54.0,,2.0,
I,49.0,,,,441.98469312207254,,,,,57.0,,2.0,
I,50.0,,,,85.97073845833788,,,,,58.0,,2.0,
I,51.0,,,,134.64410681974124,,,,,59.0,,2.0,
I,52.0,,,,70.70811867444755,,,,,60.0,,2.0,
